id,label,file name,thumbnail,space,filter,type
FRM_TDF_4DRWHANGINGLR#,"EURO DOOR LR, 4 DRAWERS, HANGING, SHELF",FRM_FLTW_0073.skp,FRM_FLTW_0073.jpg,wardrobe,tall,flat
FRM_TDF_DOUBLEHANGING_L,"EURO DOOR LH, DOUBLE HANGING, SHELF",FRM_FLTW_0074.skp,FRM_FLTW_0074.jpg,wardrobe,tall,flat
FRM_TDF_DOUBLEHANGING_LR#,"EURO DOOR LR, DOUBLE HANGING, SHELF",FRM_FLTW_0075.skp,FRM_FLTW_0075.jpg,wardrobe,tall,flat
FRM_TDF_DOUBLEHANGING_R#,"EURO DOOR RH, DOUBLE HANGING, SHELF",FRM_FLTW_0076.skp,FRM_FLTW_0076.jpg,wardrobe,tall,flat
FRM_TDF_HANGING_L ,"EURO DOOR LH, HANGING, SHELF",FRM_FLTW_0077.skp,FRM_FLTW_0077.jpg,wardrobe,tall,flat
FRM_TDF_HANGING_LR#,"EURO DOOR LR, HANGING, SHELF",FRM_FLTW_0078.skp,FRM_FLTW_0078.jpg,wardrobe,tall,flat
FRM_TDF_HANGING_OPI,"HANGING, SHELF",FRM_FLTW_0079.skp,FRM_FLTW_0079.jpg,wardrobe,tall,open
FRM_TDF_HANGING_R#,"EURO DOOR RH, HANGING, SHELF",FRM_FLTW_0080.skp,FRM_FLTW_0080.jpg,wardrobe,tall,flat
FRM_2DRAWERPACK_DBX DRIVEN,2 DRAWER PACK - INSERT ,FRM_FLTW_0081.skp,FRM_FLTW_0081.jpg,wardrobe,add-in,flat
FRM_3DRAWERPACK,3 DRAWER PACK - INSERT ,FRM_FLTW_0082.skp,FRM_FLTW_0082.jpg,wardrobe,add-in,open
FRM_3DRAWERPACK_DBX DRIVEN,3 DRAWER PACK - INSERT BOX DRIVEN,FRM_FLTW_0083.skp,FRM_FLTW_0083.jpg,wardrobe,add-in,flat
FRM_4DRAWERPACK_DBX DRIVEN,4 DRAWER PACK - INSERT ,FRM_FLTW_0084.skp,FRM_FLTW_0084.jpg,wardrobe,add-in,flat
FRM_TDF_2DRW1TRAY HANGING LH,"EURO DOOR LH, TRAY, 2 DRAWER, HANGING , SHELF",FRM_FLTW_0085.skp,FRM_FLTW_0085.jpg,wardrobe,tall,flat
